period,impact,duration,depth,ror,srho,prad,incl,teq,dor,steff,slogg,smet,srad,smass,label
9.48803557,0.146,2.9575,615.8,0.022344,3.20796,2.26,89.66,793,24.81,5455,4.467,0.14,0.927,0.919,CONFIRMED
54.4183827,0.586,4.507,874.8,0.027954,3.02368,2.83,89.57,443,77.9,5455,4.467,0.14,0.927,0.919,CONFIRMED
1.736952453,1.276,2.40641,8079.2,0.387394,0.2208,33.46,67.09,1395,3.278,5805,4.564,-0.52,0.791,0.836,FALSE POSITIVE
2.525591777,0.701,1.6545,603.3,0.024064,1.98635,2.75,85.41,1406,8.75,6031,4.438,0.07,1.046,1.095,CONFIRMED
11.09432054,0.538,4.5945,1517.5,0.036779,0.67324,3.9,88.11,835,16.36,6046,4.486,-0.08,0.972,1.053,CONFIRMED
4.13443512,0.762,3.1402,686,0.026133,0.37377,2.77,83.72,1160,6.96,6046,4.486,-0.08,0.972,1.053,CONFIRMED
2.56658897,0.755,2.429,226.5,0.014983,0.48909,1.59,82.17,1360,5.54,6046,4.486,-0.08,0.972,1.053,CONFIRMED
7.36178958,1.169,5.022,233.7,0.183387,0.00485,39.21,60.92,1342,2.4,6227,3.986,0,1.958,1.358,FALSE POSITIVE
16.06864674,0.052,3.5347,4914.3,0.062161,3.6659,5.76,89.92,600,36.85,5031,4.485,0.16,0.848,0.801,CONFIRMED
2.470613377,0.818,1.74319,14231,0.123871,1.83538,13.04,84.41,1339,8.3977,5820,4.457,-0.06,0.964,0.971,CONFIRMED
2.204735417,0.224,3.88864,6674.7,0.075522,0.37936,16.1,87.21,2048,4.602,6440,4.019,0.14,1.952,1.449,CONFIRMED
3.522498429,0.631,3.19843,9145.7,0.092086,0.65374,14.59,85.2,1521,7.541,6225,4.169,-0.04,1.451,1.132,CONFIRMED
3.709214104,0.051,2.6302,131.1,0.010424,1.77451,1.16,89.73,1206,10.888,5833,4.407,-0.04,1.022,0.974,CONFIRMED
11.521446064,2.483,3.6399,17984,1.625358,1.27376,150.51,83.13,753,20.75,5795,4.554,-0.2,0.848,0.938,FALSE POSITIVE
19.40393776,0.804,12.2155,8918.7,0.096729,0.03785,7.18,84.93,523,9.099,5043,4.591,-0.54,0.68,0.657,FALSE POSITIVE
19.221388942,1.065,4.79843,74284,0.476633,1.57359,49.29,88.05,698,31.323,6117,4.496,-0.22,0.947,1.025,FALSE POSITIVE
16.46983774,0.292,9.4378,10479,0.092509,0.19353,7.94,88.81,595,14.05,5152,4.517,-0.2,0.786,0.741,FALSE POSITIVE
9.27358173,0.387,3.2875,1288.3,0.032563,1.93557,2.47,88.93,649,20.65,4856,4.583,-0.3,0.696,0.676,CONFIRMED
6.02930329,0.258,1.5821,1912.7,0.038838,13.09803,2.85,89.5,678,29.31,4537,4.648,0.21,0.672,0.761,CONFIRMED
2.696370652,0.044,3.6129,397.9,0.017673,0.51471,1.58,89.56,1066,5.827,4989,4.504,0.1,0.819,0.781,FALSE POSITIVE
5.349553819,0.092,3.0278,831,0.025706,1.73782,2.55,89.62,919,13.8015,5185,4.44,0.16,0.91,0.831,CONFIRMED
3.94105221,0.226,2.5984,363.3,0.017105,1.85636,1.7,88.88,1018,11.51,5185,4.44,0.16,0.91,0.831,CONFIRMED
8.10904807,0.025,3.596,217.4,0.013127,1.5302,1.3,89.92,800,17.46,5185,4.44,0.16,0.91,0.831,CONFIRMED
386.6030528,0.9765,6.8057,24927,0.240528,4.63335,41.5,89.95,297,332,5543,4.081,0.44,1.58,1.103,FALSE POSITIVE
21.67699193,0.896,3.4555,857.2,0.032666,0.60007,2.95,87.91,530,24.6,4954,4.5,0.18,0.828,0.791,CONFIRMED
4.99677968,0.71,2.1717,934.7,0.030014,1.71827,2.78,86.9,917,13.14,5339,4.552,0.18,0.847,0.931,CONFIRMED
4.280963604,0.424,2.875,750.8,0.025377,1.24482,2.3,87.72,1012,10.64,5644,4.564,-0.14,0.831,0.928,CONFIRMED
1.50635409,0.86,1.5155,2211.7,0.049899,0.84722,4.53,79.38,1452,4.67,5714,4.563,-0.2,0.831,0.926,FALSE POSITIVE
670.645531,0.701,53.412,18091,0.131705,0.02605,14.14,89.53,196,85.24,5520,4.466,0.48,0.983,1.03,FALSE POSITIVE
61.2563628,1.248,7.633,5123.3,0.334628,0.12411,39.87,87.54,505,29.1,6144,4.402,0,1.091,1.093,FALSE POSITIVE
38.3775486,0.468,5.588,724.2,0.024901,1.40588,2.82,89.44,529,47.8,5481,4.369,0.16,1.036,0.915,CONFIRMED
41.19725502,0.045,4.6297,2213.9,0.041693,3.9471,3.86,89.96,439,70.75,5031,4.485,0.16,0.848,0.801,CONFIRMED
6.252962249,0.105,2.5819,1036.9,0.028604,3.28707,2.65,89.68,823,18.94,5031,4.485,0.16,0.848,0.801,CONFIRMED
16.01308419,0.799,3.2554,1121.9,0.034369,1.10942,3.1,88.14,593,24.7,5015,4.499,0.1,0.826,0.785,CONFIRMED
32.62876672,0.021,4.7971,1804.8,0.03852,2.79093,3.36,89.98,506,53.95,5586,4.56,-0.3,0.798,0.844,CONFIRMED
91.7732862,0.606,6.473,652,0.02432,1.60558,2.12,89.61,359,89.4,5586,4.56,-0.3,0.798,0.844,CONFIRMED
